"padacchedah","anvaya","spart"
"अहम् तत्र सायंकाल-पर्यन्तम् स्थास्यामि","अहम् तत्र सायंकाल-पर्यन्तम् स्थास्यामि","अहं तत्र सायंकाल-पर्यन्तं स्थास्यामि।"
"अहम् तस्य छत्रम् नयामि","अहम् तस्य छत्रम् नयामि","अहं तस्य छत्रं नयामि।"
"अहम् तु न क्रीडामि","अहम् तु न क्रीडामि","अहं तु न क्रीडामि।"
"अहम् तु न पातुम् शक्नोमि","अहम् तु न पातुम् शक्नोमि","अहं तु न पातुं शक्नोमि।"
"अहम् त्वाम् न आज्ञापयामि","अहम् त्वाम् न आज्ञापयामि","अहं त्वां न आज्ञापयामि।"
"अहम् न गच्छामि","अहम् न गच्छामि","अहं न गच्छामि।"
"अहम् न जानामि","अहम् न जानामि","अहं न जानामि।"
"अहम् निर्धनः अस्मि .","अहम् निर्धनः अस्मि .","अहं निर्धनः अस्मि।"
"अहम् नेत्राभ्याम् विश्वम् पश्यामि .","अहम् नेत्राभ्याम् विश्वम् पश्यामि .","अहं नेत्राभ्यां विश्वं पश्यामि।"
"अहम् पठामि एव","अहम् पठामि एव","अहं पठामि एव।"
"अहम् पर्पटम् भक्षयामि","अहम् पर्पटम् भक्षयामि","अहं पर्पटं भक्षयामि।"
"अहम् प्रातः भ्रमणाय गच्छामि न सायम् (गच्छामि)","अहम् प्रातः भ्रमणाय गच्छामि न सायम् (गच्छामि)","अहं प्रातः भ्रमणाय गच्छामि न सायम्।"
"अहम् फलम् भक्षयामि","अहम् फलम् भक्षयामि","अहं फलं भक्ष्यामि।"
"अहम् भुवनस्य कर्तारम् ईश्वरम् वन्दे","अहम् भुवनस्य कर्तारम् ईश्वरम् वन्दे"," अहं भुवनस्य कर्तारम् ईश्वरं वन्दे।"
"अहम् भोजनात् पूर्वम् किमपि कर्म कर्तुम् न इच्छामि","अहम् भोजनात् पूर्वम् किमपि कर्म कर्तुम् न इच्छामि","अहं भोजनात् पूर्वं किमपि कर्म कर्तुं न इच्छामि।"
"अहम् भ्रात्रा सह ग्रामम् गच्छामि .","अहम् भ्रात्रा सह ग्रामम् गच्छामि .","अहं भ्रात्रा सह ग्रामं गच्छामि।"
"अहम् मध्याह्ने ग्रामम् गच्छामि","अहम् मध्याह्ने ग्रामम् गच्छामि","अहं मध्याह्ने ग्रामं गच्छामि।"
"अहम् मुद्गम् च ओदनम् भक्षयिष्यामि","अहम् मुद्गम् च ओदनम् भक्षयिष्यामि","अहं मुद्गं च ओदनं भक्षयिष्यामि।"
"अहम् रात्रौ गृहम् गच्छामि","अहम् रात्रौ गृहम् गच्छामि"," अहं रात्रौ गृहं गच्छामि।"
"अहम् रात्रौ दुग्धम् नैव पिबामि","अहम् रात्रौ दुग्धम् नैव पिबामि","अहं रात्रौ दुग्धं नैव पिबामि।"
"अहम् रात्रौ नगरम् न गच्छामि","अहम् रात्रौ नगरम् न गच्छामि","अहं रात्रौ नगरं न गच्छामि।"
"अहम् रात्रौ नैव पिबामि .","अहम् रात्रौ नैव पिबामि .","अहं रात्रौ नैव पिबामि।"
"अहम् रामाय पत्रम् लिखामि .","अहम् रामाय पत्रम् लिखामि .","अहं रामाय पत्रं लिखामि।"
"अहम् लेखितुम् न शक्नोमि .","अहम् लेखितुम् न शक्नोमि .","अहं लेखितुं न शक्नोमि।"
"अहम् वस्त्रम् प्रक्षालयामि","अहम् वस्त्रम् प्रक्षालयामि","अहं वस्त्रं प्रक्षालयामि।"
"अहम् शीतम् जलम् न पिबामि","अहम् शीतम् जलम् न पिबामि","अहं शीतं जलं न पिबामि।"
"अहम् शुद्धम् एव घृतम् भक्ष्यामि","अहम् शुद्धम् एव घृतम् भक्ष्यामि","अहं शुद्धम् एव घृतं भक्ष्यामि।"
"अहम् शौचम् कृत्वा मुख-प्रक्षालनम् करिष्यामि","अहम् शौचम् कृत्वा मुख-प्रक्षालनम् करिष्यामि","अहं शौचं कृत्वा मुख-प्रक्षालनं करिष्यामि।"
"अहम् सदा नीचैः एव वक्तुम् इच्छामि","अहम् सदा नीचैः एव वक्तुम् इच्छामि"," अहं सदा नीचैः एव वक्तुम् इच्छामि।"
"अहम् सदैव उद्यानम् गच्छामि .","अहम् सदैव उद्यानम् गच्छामि .","अहं सदैव उद्यानं गच्छामि।"
"अहम् सदैव नगरम् गच्छामि","अहम् सदैव नगरम् गच्छामि","अहं सदैव नगरं गच्छामि।"
"अहम् सदैव पाठशालाम् गच्छामि","अहम् सदैव पाठशालाम् गच्छामि","अहं सदैव पाठशालां गच्छामि।"
"अहम् सदैव प्रातः उद्यानम् गच्छामि .","अहम् सदैव प्रातः उद्यानम् गच्छामि .","अहं सदैव प्रातः उद्यानं गच्छामि।"
"अहम् सर्वत्र न गच्छामि","अहम् सर्वत्र न गच्छामि","अहं सर्वत्र न गच्छामि।"
"अहम् सर्वदा पुस्तकम् पठितुम् इच्छामि","अहम् सर्वदा पुस्तकम् पठितुम् इच्छामि","अहं सर्वदा पुस्तकं पठितुम् इच्छामि।"
"अहम् सर्वदा फलम् भक्ष्यामि","अहम् सर्वदा फलम् भक्ष्यामि","अहं सर्वदा फलं भक्ष्यामि।"
"अहम् स्व-रथम् अत्र न स्थापयामि","अहम् स्व-रथम् अत्र न स्थापयामि","अहं स्व-रथम् अत्र न स्थापयामि।"
"अहम् अत्र लिखामि .","अहम् अत्र लिखामि .","अहम् अत्र लिखामि।"
"अहम् अत्र अस्मि .","अहम् अत्र अस्मि .","अहम् अत्र अस्मि।"
"अहम् अधुना धावामि .","अहम् अधुना धावामि .","अहम् अधुना धावामि।"
"अहम् अन्यत् पात्रम् न आनयामि","अहम् अन्यत् पात्रम् न आनयामि","अहम् अन्यत् पात्रं न आनयामि।"
"अहम् अस्मि","अहम् अस्मि","अहम् अस्मि।"
"अहम् आम्रम् आनयामि .","अहम् आम्रम् आनयामि .","अहम् आम्रम् आनयामि।"
"अहम् इदानीम् संस्कृतम् पठितुम् आरभे","अहम् इदानीम् संस्कृतम् पठितुम् आरभे","अहम् इदानीं संस्कृतं पठितुम् आरभे।"
"अहम् इदानीम् एव स्नात्वा शीघ्रम् आगमिष्यामि .","अहम् इदानीम् एव स्नात्वा शीघ्रम् आगमिष्यामि .","अहम् इदानीम् एव स्नात्वा शीघ्रम् आगमिष्यामि।"
"अहम् ओदनम् भक्ष्यामि","अहम् ओदनम् भक्ष्यामि","अहम् ओदनं भक्ष्यामि।"
"अहम् अद्य उपदेशम् श्रोतुम् गच्छामि .","अहम् अद्य उपदेशम् श्रोतुम् गच्छामि .","अहम् अद्य उपदेशं श्रोतुं गच्छामि।"
"अहम् अधुना आलेख्यम् पश्यामि","अहम् अधुना आलेख्यम् पश्यामि","अहम् अधुना आलेख्यं पश्यामि।"
"अहम् इदानीम् कुशलः अस्मि","अहम् इदानीम् कुशलः अस्मि"," अहम् इदानीं कुशलः अस्मि।"
"विष्णुशर्मा तत्र शीघ्रम् गन्तुम् धावति","विष्णुशर्मा तत्र शीघ्रम् गन्तुम् धावति","विष्णुशर्मा तत्र शीघ्रं गन्तुं धावति।"
"आकाशे खगाः सन्ति","आकाशे खगाः सन्ति","आकाशे खगाः सन्ति।"
"आकाशे तारकान् पश्य","आकाशे तारकान् पश्य","आकाशे तारकान् पश्य।"
"आकाशे मेघः अधुना गर्जति .","आकाशे मेघः अधुना गर्जति .","आकाशे मेघः अधुना गर्जति।"
"आचार्यः उपदेशम् करोति","आचार्यः उपदेशम् करोति","आचार्यः उपदेशं करोति।"
"आचार्यः सत्वरम् आगमिष्यति","आचार्यः सत्वरम् आगमिष्यति","आचार्यः सत्वरम् आगमिष्यति।"
"(त्वम्) आचार्य-देवः भव .","(त्वम्) आचार्य-देवः भव .","आचार्य-देवः भव।"
"इदानीम् तु न जानामि .","इदानीम् तु न जानामि .","इदानीं तु न जानामि।"
"इदानीम् देवदत्तः सन्ध्याम् करोति","इदानीम् देवदत्तः सन्ध्याम् करोति","इदानीं देवदत्तः सन्ध्यां करोति।"
"इदानीम् पिपासा अस्ति .","इदानीम् पिपासा अस्ति ."," इदानीं पिपासा अस्ति।"
"इदानीम् भोजनम् कर्तुम् इच्छामि .","इदानीम् भोजनम् कर्तुम् इच्छामि .","इदानीं भोजनं कर्तुम् इच्छामि।"
"इदानीम् मम गुरुः तत्र अस्ति","इदानीम् मम गुरुः तत्र अस्ति","इदानीं मम गुरुः तत्र अस्ति।"
"इदानीम् सः रजकः वस्त्रम् कुत्र नयति","इदानीम् सः रजकः वस्त्रम् कुत्र नयति","इदानीं सः रजकः वस्त्रं कुत्र नयति।"
"इदानीम् अत्र विष्णुमित्रः आगमिष्यति","इदानीम् अत्र विष्णुमित्रः आगमिष्यति","इदानीम् अत्र विष्णुमित्रः आगमिष्यति।"
"इदानीम् एव (अहम्) स्नानम् कर्तुम् न इच्छामि","इदानीम् एव (अहम्) स्नानम् कर्तुम् न इच्छामि","इदानीम् एव स्नानं कर्तुं न इच्छामि।"
"इन्द्रः स्वर्गस्य राजा अस्ति","इन्द्रः स्वर्गस्य राजा अस्ति","इन्द्रः स्वर्गस्य राजा अस्ति।"
"इह इदानीम् श्रीकृष्णः हवन-अर्थम् आगमिष्यति","इह इदानीम् श्रीकृष्णः हवन-अर्थम् आगमिष्यति","इह इदानीं श्री-कृष्णः हवन-अर्थम् आगमिष्यति।"
"इह मनुष्यः दिने अन्नम् भक्षयति .","इह मनुष्यः दिने अन्नम् भक्षयति .","इह मनुष्यः दिने अन्नं भक्षयति।"
"ईश्वरः सर्वत्र अस्ति","ईश्वरः सर्वत्र अस्ति","ईश्वरः सर्वत्र अस्ति।"
"ईश्वरस्य दया अस्ति","ईश्वरस्य दया अस्ति","ईश्वरस्य दया अस्ति।"
"ईश्वरात् ज्ञानम् भवति .","ईश्वरात् ज्ञानम् भवति .","ईश्वरात् ज्ञानं भवति।"
"उत्तिष्ठ (त्वम्) शौचम् कृत्वा शीघ्रम् स्नानम् कुरु","उत्तिष्ठ (त्वम्) शौचम् कृत्वा शीघ्रम् स्नानम् कुरु","उत्तिष्ठ! शौचं कृत्वा शीघ्रं स्नानं कुरु।"
"उद्यम-शीला बालिका सदा उत्तमाम् पुष्पमालाम् करोति","उद्यम-शीला बालिका सदा उत्तमाम् पुष्पमालाम् करोति","उद्यम-शीला बालिका सदा उत्तमां पुष्पमालां करोति।"
"उद्यमेन एव सुखम् भवति .","उद्यमेन एव सुखम् भवति .","उद्यमेन एव सुखं भवति।"
"(अहम्) उद्यानम् गत्वा तत्र स्थातुम् इच्छामि","(अहम्) उद्यानम् गत्वा तत्र स्थातुम् इच्छामि"," उद्यानं गत्वा तत्र स्थातुम् इच्छामि।"
"(त्वम्) उद्यानम् पश्य .","(त्वम्) उद्यानम् पश्य .","उद्यानं पश्य।"
"(त्वम्) एक-रूप्यकम् देहि","(त्वम्) एक-रूप्यकम् देहि","एक-रूप्यकं देहि।"
"(त्वम्) एकः विहगः वृक्षे अस्ति तम् पश्य","(त्वम्) एकः विहगः वृक्षे अस्ति तम् पश्य","एकः विहगः वृक्षे अस्ति तं पश्य।"
"एकदा नारदः भगवन्तम् उपेत्य पप्रच्छ .","एकदा नारदः भगवन्तम् उपेत्य पप्रच्छ .","एकदा नारदः भगवन्तम् उपेत्य पप्रच्छ।"
"एकस्य पुस्तकम् अन्यः कथं नेष्यति .","एकस्य पुस्तकम् अन्यः कथं नेष्यति .","एकस्य पुस्तकम् अन्यः कथं नेष्यति।"
"एतत् कस्य आलेख्यम् अस्ति .","एतत् कस्य आलेख्यम् अस्ति .","एतत् कस्य आलेख्यम् अस्ति।"
"एतत् कस्य गृहम् अस्ति .","एतत् कस्य गृहम् अस्ति .","एतत् कस्य गृहम् अस्ति।"
"एतत् ज्ञात्वा भोजनाय (अहम्) कथम् न आगमिष्यामि .","एतत् ज्ञात्वा भोजनाय (अहम्) कथम् न आगमिष्यामि .","एतत् ज्ञात्वा भोजनाय कथं न आगमिष्यामि।"
"(त्वम्) एतत् नवनीतम् गृहाण","(त्वम्) एतत् नवनीतम् गृहाण","एतत् नवनीतं गृहाण।"
"एतत् मम मित्रस्य गृहम् अस्ति","एतत् मम मित्रस्य गृहम् अस्ति"," एतत् मम मित्रस्य गृहम् अस्ति।"
"एतद् अन्नम् अतीव उष्णम् अस्ति","एतद् अन्नम् अतीव उष्णम् अस्ति","एतद् अन्नम् अतीव उष्णम् अस्ति।"
"एतद् अहम् न जानामि","एतद् अहम् न जानामि","एतद् अहं न जानामि।"
"एवम् हसनम् वरम् नैव अस्ति","एवम् हसनम् वरम् नैव अस्ति","एवं हसनं वरं नैव अस्ति।"
"एवम् अत्र न कः अपि वक्तुम् शक्नोति","एवम् अत्र न कः अपि वक्तुम् शक्नोति","एवम् अत्र न कः अपि वक्तुं शक्नोति।"
"एषः कः अस्ति .","एषः कः अस्ति ."," एषः कः अस्ति।"
"एषः भानुः आकाशे उदेति","एषः भानुः आकाशे उदेति","एषः भानुः आकाशे उदेति।"
"एषः मित्रस्य गृहस्य मार्गः अस्ति","एषः मित्रस्य गृहस्य मार्गः अस्ति","एषः मित्रस्य गृहस्य मार्गः अस्ति।"
"एषः शोभनः समयः अस्ति (अहम्) भ्रमणाय गच्छामि","एषः शोभनः समयः अस्ति (अहम्) भ्रमणाय गच्छामि","एषः शोभनः समयः अस्ति भ्रमणाय गच्छामि।"
"एहि (त्वम्) पश्य एतत्","एहि (त्वम्) पश्य एतत्","एहि पश्य एतत्।"
"कः अत्र उपविश्य आलेख्यम् करोति","कः अत्र उपविश्य आलेख्यम् करोति"," कः अत्र उपविश्य आलेख्यं करोति।"
"कः एवम् वदति","कः एवम् वदति","कः एवं वदति।"
"कः तत्र अस्ति","कः तत्र अस्ति","कः तत्र अस्ति।"
"कः तत्र गच्छति","कः तत्र गच्छति","कः तत्र गच्छति।"
"कः तत्र दिवा न गच्छति","कः तत्र दिवा न गच्छति","कः तत्र दिवा न गच्छति।"
"कः तत्र न गच्छति .","कः तत्र न गच्छति .","कः तत्र न गच्छति।"
"कः मध्याह्ने पाठशालां न गच्छति","कः मध्याह्ने पाठशालां न गच्छति","कः मध्याह्ने पाठशालां न गच्छति।"
"कः वरम् व्याख्यानम् ददाति","कः वरम् व्याख्यानम् ददाति","कः वरं व्याख्यानं ददाति।"
"कः सदा उद्यानम् न गच्छति .","कः सदा उद्यानम् न गच्छति .","कः सदा उद्यानं न गच्छति।"
"कः सर्वत्र गच्छति","कः सर्वत्र गच्छति","कः सर्वत्र गच्छति।"
"कः सर्वत्र न गच्छति .","कः सर्वत्र न गच्छति ."," कः सर्वत्र न गच्छति।"
"कथम् तत्र सः श्वः न गमिष्यति","कथम् तत्र सः श्वः न गमिष्यति","कथं तत्र सः श्वः न गमिष्यति।"
"कथम् त्वम् अन्यत् पात्रम् आनयसि .","कथम् त्वम् अन्यत् पात्रम् आनयसि .","कथं त्वम् अन्यत् पात्रम् आनयसि।"
"कथम् सः न गच्छति","कथम् सः न गच्छति","कथं सः न गच्छति।"
"कदा त्वम् तत्र गमिष्यसि","कदा त्वम् तत्र गमिष्यसि","कदा त्वं तत्र गमिष्यसि।"
"कदा सः नगरम् गच्छति","कदा सः नगरम् गच्छति","कदा सः नगरं गच्छति।"
"कदा सः पुनः नीरोगः भविष्यति","कदा सः पुनः नीरोगः भविष्यति","कदा सः पुनः नीरोगः भविष्यति।"
"कदा सः पुनः स्व-नगरम् गमिष्यति .","कदा सः पुनः स्व-नगरम् गमिष्यति .","कदा सः पुनः स्व-नगरं गमिष्यति।"
"(त्वम्) कदापि अन्यायम् न कुरु .","(त्वम्) कदापि अन्यायम् न कुरु .","कदापि अन्यायं न कुरु।"
"(त्वम्) कदापि असत्यम् मा वद","(त्वम्) कदापि असत्यम् मा वद","कदापि असत्यं न वद।"
"कन्दुकः क्रीडनाय भवति .","कन्दुकः क्रीडनाय भवति .","कन्दुकः क्रीडनाय भवति।"
"कस्मात् ग्रामात् सः आगच्छति","कस्मात् ग्रामात् सः आगच्छति","कस्मात् ग्रामात् सः आगच्छति।"
"कस्मिन् पुस्तके तत् आलेख्यम् अस्ति","कस्मिन् पुस्तके तत् आलेख्यम् अस्ति","कस्मिन् पुस्तके तत् आलेख्यम् अस्ति।"
"कस्मिन् स्थाने तस्य पाठशाला अस्ति .","कस्मिन् स्थाने तस्य पाठशाला अस्ति .","कस्मिन् स्थाने तस्य पाठशाला अस्ति।"
"कस्मिंश्चित् ग्रामे धर्मदत्त-नामकः कृषीवलः आसीत्","कस्मिंश्चित् ग्रामे धर्मदत्त-नामकः कृषीवलः आसीत्","कस्मिंश्चित् ग्रामे धर्मदत्त-नामकः कृषीवलः आसीत्।"
"कस्मिंश्चित् ग्रामे एकः ब्राह्मणः प्रतिवसति स्म","कस्मिंश्चित् ग्रामे एकः ब्राह्मणः प्रतिवसति स्म"," कस्मिंश्चित् ग्रामे एकः ब्राह्मणः प्रतिवसति स्म।"
"कस्मै कारणाय त्वम् धनम् न ददासि .","कस्मै कारणाय त्वम् धनम् न ददासि .","कस्मै कारणाय त्वं धनं न ददासि।"
"(त्वम्) कस्मै धनम् ददासि","(त्वम्) कस्मै धनम् ददासि","कस्मै धनं ददासि।"
"कस्य एतत् पुस्तकम् अस्ति .","कस्य एतत् पुस्तकम् अस्ति .","कस्य एतत् पुस्तकम् अस्ति।"
"(एतत्) कस्य पुस्तकम् अस्ति","(एतत्) कस्य पुस्तकम् अस्ति","कस्य पुस्तकम् अस्ति।"
"किम् त्वम् आपणम् न गच्छसि","किम् त्वम् आपणम् न गच्छसि","किं त्वम् आपणं न गच्छसि।"
"किम् त्वम् कुशलः असि इदानीम् .","किम् त्वम् कुशलः असि इदानीम् .","किं त्वं कुशलः असि इदानीम्।"
"किम् त्वम् तम् द्रष्टुम् इच्छसि .","किम् त्वम् तम् द्रष्टुम् इच्छसि .","किं त्वं तं द्रष्टुम् इच्छसि।"
"किम् त्वम् प्रतिदिनम् सायङ्काले भ्रमणाय गच्छसि","किम् त्वम् प्रतिदिनम् सायङ्काले भ्रमणाय गच्छसि","किं त्वं प्रतिदिनं सायङ्काले भ्रमणाय गच्छसि।"
"किम् त्वम् सदा आपणम् गच्छसि","किम् त्वम् सदा आपणम् गच्छसि","किं त्वं सदा आपणं गच्छसि।"
"किम् त्वम् अलङ्कारम् गृह्णासि .","किम् त्वम् अलङ्कारम् गृह्णासि ."," किं त्वम् अलङ्कारं गृह्णासि।"
"किम् त्वम् आपणम् गच्छसि","किम् त्वम् आपणम् गच्छसि","किं त्वम् आपणं गच्छसि।"
"किम् त्वम् उद्यानम् गच्छसि","किम् त्वम् उद्यानम् गच्छसि","किं त्वम् उद्यानं गच्छसि।"
"किम् नगरे शुद्धः वायुः न भवति","किम् नगरे शुद्धः वायुः न भवति","किं नगरे शुद्धः वायुः न भवति।"
"किम् सः अन्नम् भक्षयिष्यति","किम् सः अन्नम् भक्षयिष्यति","किं सः अन्नं भक्षयिष्यति।"
"किम् सः ग्रामम् गच्छति","किम् सः ग्रामम् गच्छति","किं सः ग्रामं गच्छति।"
"किम् सः ग्रामम् न गच्छति","किम् सः ग्रामम् न गच्छति","किं सः ग्रामं न गच्छति।"
"किम् सः न गच्छति","किम् सः न गच्छति","किं सः न गच्छति।"
"किम् स्वादु दुग्धम् अत्र न अस्ति","किम् स्वादु दुग्धम् अत्र न अस्ति","किं स्वादु दुग्धम् अत्र न अस्ति।"
