"padacchedah","anvaya","spart"
"वयः-अहः-रात्रि-भुक्तानाम् ते अन्त-मध्य-आदि-गाः क्रमात् (भवन्ति) .","ते क्रमात् वयः-अहः-रात्रि-भुक्तानाम् अन्त-मध्य-आदि-गाः (भवन्ति) ."," वयोहोरात्रिभुक्तानां तेऽन्तमध्यादिगाः क्रमात्।"
"तैः भवेत् विषमः मन्दः तीक्ष्णः च अग्निः (क्रमात्) .; समैः (अग्निः) समः (भवेत्) .","तैः अग्निः (क्रमात्) विषमः तीक्ष्णः मन्दः च भवेत् .; समैः (अग्निः) समः (भवेत्) ."," तैर्भवेद्विषमस्तीक्ष्णो मन्दश्चाग्निः समैः समः॥८॥"
"कोष्ठः क्रूरः मृदुः मध्यः (च) (स्यात्) (तैः) (क्रमात्) .; मध्यः स्यात् तैः समैः अपि (कोष्ठः) .","(तैः) कोष्ठः (क्रमात्) क्रूरः मृदुः मध्यः (च) (स्यात्) .; तैः समैः अपि (कोष्ठः) मध्यः स्यात् ."," कोष्ठः क्रूरो मृदुर्मध्यो मध्यः स्यात्तैः समैरपि।"
"शुक्र-आर्तव-स्थैः जन्म-आदौ विषेण इव विष-क्रिमेः (जन्म) (जायते) तैः च तिस्रः प्रकृतयः हीन-मध्य-उत्तमाः पृथक् (जायन्ते) सम-धातुः समस्तासु श्रेष्ठा (समस्तासु) निन्द्याः द्वि-दोष-जाः (भवति) (भवन्ति) .","विषेण विष-क्रिमेः (जन्म) (जायते) इव जन्म-आदौ शुक्र-आर्तव-स्थैः तैः च पृथक् हीन-मध्य-उत्तमाः तिस्रः प्रकृतयः (जायन्ते) समस्तासु सम-धातुः श्रेष्ठा (भवति) (समस्तासु) द्वि-दोष-जाः निन्द्याः (भवन्ति) ."," शुक्रार्तवस्थैर्जन्मादौ विषेणेव विषक्रिमेः॥९॥# तैश्च तिस्रः प्रकृतयो हीनमध्योत्तमाः पृथक्।# समधातुः समस्तासु श्रेष्ठा निन्द्या द्विदोषजाः॥१०॥"
"तत्र रूक्षः लघुः शीतः खरः सूक्ष्मः चलः (च) अनिलः (अस्ति) .","तत्र अनिलः रूक्षः लघुः शीतः खरः सूक्ष्मः चलः (च) (अस्ति) ."," तत्र रूक्षो लघुः शीतः खरः सूक्ष्मश्चलोऽनिलः।"
"पित्तम् स-स्नेह-तीक्ष्ण-उष्णम् लघु विस्रम् सरम् द्रवम् (च) (अस्ति) .","पित्तम् स-स्नेह-तीक्ष्ण-उष्णम् लघु विस्रम् सरम् द्रवम् (च) (अस्ति) .","पित्तं सस्नेहतीक्ष्णोष्णं लघु विस्रं सरं द्रवम्॥११॥"
"स्निग्धः शीतः गुरुः मन्दः श्लक्ष्णः मृत्स्नः स्थिरः (च) (अस्ति) कफः .","कफः स्निग्धः शीतः गुरुः मन्दः श्लक्ष्णः मृत्स्नः स्थिरः (च) (अस्ति) ."," स्निग्धः शीतो गुरुर्मन्दः श्लक्ष्णो मृत्स्नः स्थिरः कफः।"
"संसर्गः सन्निपातः च तत्-द्वि-त्रि-क्षय-कोपतः (क्रमेण) (भवति) .","तत्-द्वि-त्रि-क्षय-कोपतः (क्रमेण) संसर्गः सन्निपातः च (भवति) ."," संसर्गः सन्निपातश्च तद्द्वित्रिक्षयकोपतः॥१२॥"
"रस-असृक्-मांस-मेदः-अस्थि-मज्ज-शुक्राणि धातवः (इति) सप्त दूष्याः (सन्ति) .","रस-असृक्-मांस-मेदः-अस्थि-मज्ज-शुक्राणि (इति) सप्त धातवः दूष्याः (सन्ति) ."," रसासृङ्मांसमेदोऽस्थिमज्जशुक्राणि धातवः।# सप्त दूष्याः ...................॥१३॥"
"मलाः मूत्र-शकृत्-स्वेद-आदयः अपि च (दूष्याः) (सन्ति) .","मूत्र-शकृत्-स्वेद-आदयः मलाः अपि च (दूष्याः) (सन्ति) ."," .........मला मूत्रशकृत्स्वेदादयोऽपि च॥१३॥"
"(दोष-दूष्याणाम्) वृद्धिः समानैः सर्वेषाम् (भवेत्) .; (सर्वेषाम्) (दोष-दूष्याणाम्) विपरीतैः विपर्ययः (भवेत्) .","सर्वेषाम् (दोष-दूष्याणाम्) समानैः वृद्धिः . (भवेत्); (सर्वेषाम्) (दोष-दूष्याणाम्) विपरीतैः विपर्ययः (भवेत्) ."," वृद्धिः समानैः सर्वेषां विपरीतैर्विपर्ययः।"
"रसाः स्वादु-अम्ल-लवण-तिक्त-ऊषण-कषायकाः षट् (सन्ति) .; द्रव्यम् आश्रिताः ते च यथा-पूर्वम् बल-आवहाः (सन्ति) .","स्वादु-अम्ल-लवण-तिक्त-ऊषण-कषायकाः षट् रसाः (सन्ति) .; ते च द्रव्यम् आश्रिताः यथा-पूर्वम् बल-आवहाः (सन्ति) ."," रसाः स्वाद्वम्ललवणतिक्तोषणकषायकाः॥१४॥# षड् द्रव्यमाश्रितास्ते च यथापूर्वंबलावहाः।"
"तत्र आद्याः मारुतम् घ्नन्ति त्रयः .; तिक्त-आदयः कफम् (घ्नन्ति) .; कषाय-तिक्त-मधुराः पित्तम् (घ्नन्ति) .; अन्ये तु कुर्वते .","तत्र आद्याः त्रयः मारुतम् घ्नन्ति .; तिक्त-आदयः कफम् (घ्नन्ति) .; कषाय-तिक्त-मधुराः पित्तम् (घ्नन्ति) .; अन्ये तु कुर्वते ."," तत्राद्या मारुतं घ्नन्ति त्रयस्तिक्तादयः कफम्॥१५॥# कषायतिक्तमधुराः पित्तमन्ये तु कुर्वते।"
"शमनम् कोपनम् स्वस्थ-हितम् द्रव्यम् इति त्रिधा (अस्ति) .","शमनम् कोपनम् स्वस्थ-हितम् इति द्रव्यम् त्रिधा (अस्ति) ."," शमनं कोपनं स्वस्थहितं द्रव्यमिति त्रिधा॥१६॥"
"उष्ण-शीत-गुण-उत्कर्षात् तत्र वीर्यम् द्विधा स्मृतम् .","तत्र उष्ण-शीत-गुण-उत्कर्षात् वीर्यम् द्विधा स्मृतम् ."," उष्णशीतगुणोत्कर्षात्तत्र वीर्यं द्विधा स्मृतम्।"
"त्रिधा विपाकः द्रव्यस्य स्वादु-अम्ल-कटुक-आत्मकः (अस्ति) .","द्रव्यस्य स्वादु-अम्ल-कटुक-आत्मकः त्रिधा विपाकः (अस्ति) ."," त्रिधा विपाको द्रव्यस्य स्वाद्वम्लकटुकात्मकः॥१७॥"
"गुरु-मन्द-हिम-स्निग्ध-श्लक्ष्ण-सान्द्र-मृदु-स्थिराः गुणाः स-सूक्ष्म-विशदाः विंशतिः स-विपर्ययाः (सन्ति) .","स-विपर्ययाः स-सूक्ष्म-विशदाः गुरु-मन्द-हिम-स्निग्ध-श्लक्ष्ण-सान्द्र-मृदु-स्थिराः विंशतिः गुणाः (सन्ति) ."," गुरुमन्दहिमस्निग्धश्लक्ष्णसान्द्रमृदुस्थिराः।# गुणाः ससूक्ष्मविशदा विंशतिः सविपर्ययाः॥१८॥"
"काल-अर्थ-कर्मणाम् योगः हीन-मिथ्या-अति-मात्रकः (विज्ञेयः) रोग-एक-कारणम् .; सम्यक् योगः च विज्ञेयः आरोग्य-एक-कारणम् .","हीन-मिथ्या-अति-मात्रकः काल-अर्थ-कर्मणाम् योगः रोग-एक-कारणम् (विज्ञेयः) .; सम्यक् योगः च आरोग्य-एक-कारणम् विज्ञेयः ."," कालार्थकर्मणां योगो हीनमिथ्यातिमात्रकः।# सम्यग्योगश्च विज्ञेयो रोगारोग्यैककारणम्॥१९॥"
"रोगः तु दोष-वैषम्यम् (भवति) .; दोष-साम्यम् अ-रोगता (भवति) .","रोगः तु दोष-वैषम्यम् (भवति) .; दोष-साम्यम् अ-रोगता (भवति) ."," रोगस्तु दोषवैषम्यं दोषसाम्यमरोगता।"
"निज-आगन्तु-विभागेन तत्र रोगाः द्विधा स्मृताः .","तत्र निज-आगन्तु-विभागेन रोगाः द्विधा स्मृताः .","  निजागन्तुविभागेन तत्र रोगा द्विधा स्मृताः॥२०॥"
"तेषाम् काय-मनः-भेदात् अधिष्ठानम् अपि द्विधा (स्मृतम्) .","काय-मनः-भेदात् तेषाम् अधिष्ठानम् अपि द्विधा (स्मृतम्) ."," तेषां कायमनोभेदादधिष्ठानमपि द्विधा।"
"रजः तमः च मनसः द्वौ च दोषौ उदाहृतौ .","मनसः द्वौ च दोषौ रजः तमः च उदाहृतौ ."," रजस्तमश्च मनसो द्वौ च दोषावुदाहृतौ॥२१॥"
"दर्शन-स्पर्शन-प्रश्नैः परीक्षेत च रोगिणम् .","दर्शन-स्पर्शन-प्रश्नैः रोगिणम् परीक्षेत च ."," दर्शनस्पर्शनप्रश्नैः परीक्षेत च रोगिणम्।"
"रोगम् निदान-प्राक्-रूप-लक्षण-उपशय-आप्तिभिः (परीक्षेत) .","निदान-प्राक्-रूप-लक्षण-उपशय-आप्तिभिः रोगम् (परीक्षेत) .","रोगं निदानप्राग्रूपलक्षणोपशयाप्तिभिः॥२२॥"
"भूमि-देह-प्रभेदेन देशम् आहुः इह द्विधा .","इह भूमि-देह-प्रभेदेन देशम् द्विधा आहुः ."," भूमिदेहप्रभेदेन देशमाहुरिह द्विधा।"
"जाङ्गलम् वात-भूयिष्ठम् अनूपम् तु कफ-उल्बणम् साधारणम् सम-मलम् त्रिधा भू-देशम् आदिशेत् .","भू-देशम् त्रिधा वात-भूयिष्ठम् जाङ्गलम् कफ-उल्बणम् तु अनूपम् सम-मलम् साधारणम् आदिशेत् ."," जाङ्गलं वातभूयिष्ठमनूपं तु कफोल्बणम्॥२३॥# साधारणं सममलं त्रिधा भूदेशमादिशेत्।"
"क्षण-आदिः व्याधि-अवस्था च कालः भेषज-योग-कृत् (अस्ति) .","भेषज-योग-कृत् कालः क्षण-आदिः व्याधि-अवस्था च (अस्ति) ."," क्षणादिर्व्याध्यवस्था च कालो भेषजयोगकृत्॥२४॥"
"शोधनम् शमनम् च इति समासात् औषधम् द्विधा (अस्ति) .","शोधनम् शमनम् च इति समासात् औषधम् द्विधा (अस्ति) ."," शोधनं शमनं चेति समासादौषधं द्विधा।"
"शरीर-जानाम् दोषाणाम् क्रमेण परम-औषधम् बस्तिः विरेकः वमनम् (च) (भवति) तथा तैलम् घृतम् मधु .","शरीर-जानाम् दोषाणाम् क्रमेण परम-औषधम् बस्तिः विरेकः वमनम् तथा तैलम् घृतम् मधु (च) (भवति) ."," शरीरजानां दोषाणां क्रमेण परमौषधम्॥२५॥# बस्तिर्विरेको वमनं तथा तैलं घृतं मधु।"
"धी-धैर्य-आत्म-आदि-विज्ञानम् मनो-दोष-औषधम् परम् (भवति) .","धी-धैर्य-आत्म-आदि-विज्ञानम् परम् मनो-दोष-औषधम् (भवति) ."," धीधैर्यात्मादिविज्ञानं मनोदोषौषधं परम्॥२६॥"
"भिषक् द्रव्याणि उपस्थाता रोगी पाद-चतुष्टयम् चिकित्सितस्य निर्दिष्टम् .; प्रति-एकम् तत् चतुः-गुणम् (भवति)","चिकित्सितस्य निर्दिष्टम् पाद-चतुष्टयम् भिषक् द्रव्याणि उपस्थाता रोगी .; तत् प्रति-एकम् चतुः-गुणम् (भवति)","भिषक् द्रव्याण्युपस्थाता रोगी पादचतुष्टयम्।# चिकित्सितस्य निर्दिष्टं प्रत्येकं तच्चतुर्गुणम्॥२७॥"
"दक्षः तीर्थ-आत्त-शास्त्र-अर्थः दृष्ट-कर्मा शुचिः (च) भिषक् (भवेत्) .","भिषक् दक्षः तीर्थ-आत्त-शास्त्र-अर्थः दृष्ट-कर्मा शुचिः (च) (भवेत्) .","  दक्षस्तीर्थात्तशास्त्रार्थो दृष्टकर्मा शुचिर्भिषक्।"
"बहु-कल्पम् बहु-गुणम् सम्पन्नम् योग्यम् (च) (भवेत्) औषधम् .","औषधम् बहु-कल्पम् बहु-गुणम् सम्पन्नम् योग्यम् (च) (भवेत्) ."," बहुकल्पं बहुगुणं सम्पन्नं योग्यमौषधम्॥२८॥"
"अनुरक्तः शुचिः दक्षः बुद्धिमान् (च) परिचारकः (भवेत्) .","परिचारकः अनुरक्तः शुचिः दक्षः बुद्धिमान् (च) (भवेत्) ."," अनुरक्तः शुचिर्दक्षो बुद्धिमान् परिचारकः।"
"आढ्यः रोगी भिषक्-वश्यः ज्ञापकः सत्त्ववान् अपि (भवेत्) .","रोगी आढ्यः भिषक्-वश्यः ज्ञापकः सत्त्ववान् अपि (भवेत्) .","आढ्यो रोगी भिषग्वश्यो ज्ञापकः सत्त्ववानपि॥२९॥"
"साध्यः अ-साध्यः इति व्याधिः द्विधा (भवति) .; तौ तु पुनः द्विधा सु-साध्यः कृच्छ्र-साध्यः च याप्यः यः च अनुपक्रमः (भवतः) .; सर्व-औषध-क्षमे देहे (स्थितः) यूनः पुंसः जित-आत्मनः अ-मर्म-गः अल्प-हेतु-अग्र-रूप-रूपः अन्-उपद्रवः अ-तुल्य-दूष्य-देश-ऋतु-प्रकृतिः पाद-संपदि (सति) ग्रहेषु अनुगुणेषु (सत्सु) एक-दोष-मार्गः नवः (व्याधिः) सुखः (भवति) .","साध्यः अ-साध्यः इति व्याधिः द्विधा (भवति) .; तौ तु पुनः द्विधा सु-साध्यः कृच्छ्र-साध्यः च यः याप्यः अनुपक्रमः च (भवतः) .; पाद-संपदि (सति) अनुगुणेषु ग्रहेषु (सत्सु) यूनः जित-आत्मनः पुंसः सर्व-औषध-क्षमे देहे (स्थितः) अ-मर्म-गः अल्प-हेतु-अग्र-रूप-रूपः अन्-उपद्रवः अ-तुल्य-दूष्य-देश-ऋतु-प्रकृतिः एक-दोष-मार्गः नवः (व्याधिः) सुखः (भवति) ."," (साध्योऽसाध्य इति व्याधिर्द्विधा तौ तु पुनर्द्विधा।# सुसाध्यः कृच्छ्रसाध्यश्च याप्यो यश्चानुपक्रमः॥)# सर्वौषधक्षमे देहे यूनः पुंसो जितात्मनः।# अमर्मगोऽल्पहेत्वग्ररूपरूपोऽनुपद्रवः॥३०॥# अतुल्यदूष्यदेशर्तुप्रकृतिः पादसम्पदि।# ग्रहेष्वनुगुणेऽष्वेकदोषमार्गो नवः सुखः॥३१॥"
"शस्त्र-आदि-साधनः कृच्छ्रः संकरे (सति) च ततः गदः (भवति) .","शस्त्र-आदि-साधनः ततः संकरे (सति) च गदः कृच्छ्रः (भवति) ."," शस्त्रादिसाधनः कृच्छ्रः सङ्करे च ततो गदः।"
"शेषत्वात् आयुषः याप्यः पथ्य-अभ्यासात् विपर्यये (सति) (व्याधिः) (भवति) .","विपर्यये (सति) आयुषः शेषत्वात् पथ्य-अभ्यासात् (व्याधिः) याप्यः (भवति) .","शेषत्वादायुषो याप्यः पथ्याभ्यासाद्विपर्यये॥३२॥"
"अन्-उपक्रमः एव स्यात् स्थितः अत्यन्त-विपर्यये औत्सुक्य-मोह-अ-रति-कृत् दृष्ट-रिष्टः अक्ष-नाशनः (गदः) .","अत्यन्त-विपर्यये स्थितः औत्सुक्य-मोह-अ-रति-कृत् दृष्ट-रिष्टः अक्ष-नाशनः (गदः) अन्-उपक्रमः एव स्यात् .","अनुपक्रम एव स्यात्स्थितोऽत्यन्तविपर्यये।# औत्सुक्यमोहारतिकृद् दृष्टरिष्टोऽक्षनाशनः॥३३॥"
"त्यजेत् आर्तम् भिषक्-भूपैः द्विष्टम् तेषाम् द्विषम् द्विषम् हीन-उपकरणम् व्यग्रम् अ-विधेयम् गत-आयुषम् चण्डम् शोक-आतुरम् भीरुम् कृत-घ्नम् वैद्य-मानिनम् (च)","भिषक्-भूपैः द्विष्टम् तेषाम् द्विषम् द्विषम् हीन-उपकरणम् व्यग्रम् अ-विधेयम् गत-आयुषम् चण्डम् शोक-आतुरम् भीरुम् कृत-घ्नम् वैद्य-मानिनम् (च) आर्तम् त्यजेत्"," त्यजेदार्तं भिषग्भूपैर्द्विष्टं तेषां द्विषं द्विषम्।# हीनोपकरणं व्यग्रमविधेयं गतायुषम्॥३४॥# चण्डं शोकातुरं भीरुं कृतघ्नं वैद्यमानिनम्। "
"तन्त्रस्य अस्य परम् च अतः वक्ष्यते अध्याय-सङ्ग्रहः .","अतः परम् च अस्य तन्त्रस्य अध्याय-सङ्ग्रहः वक्ष्यते ."," तन्त्रस्यास्य परं चातो वक्ष्यतेऽध्यायसङ्ग्रहः॥३५॥"
"अथ अतः दिन-चर्या-अध्यायम् व्याख्यास्यामः .; इति ह स्म आहुः आत्रेय-आदयः महा-ऋषयः .","अथ अतः दिन-चर्या-अध्यायम् व्याख्यास्यामः .; इति आत्रेय-आदयः महा-ऋषयः ह आहुः स्म .","अथातो दिनचर्याध्यायं व्याख्यास्यामः।#इति ह स्माहुरात्रेयादयो महर्षयः।"
"ब्राह्मे मुहूर्ते उत्तिष्ठेत् स्वस्थः रक्षा-अर्थम् आयुषः .","स्वस्थः आयुषः रक्षा-अर्थम् ब्राह्मे मुहूर्ते उत्तिष्ठेत् .","ब्राह्मे मुहूर्त उत्तिष्ठेत्स्वस्थो रक्षार्थमायुषः।"
"शरीर-चिन्ताम् निर्वर्त्य कृत-शौच-विधिः (ततः) अर्क-न्यग्रोध-खदिर-करञ्ज-ककुभ-आदि-जम् प्रातः भुक्त्वा च मृदु-अग्रम् कषाय-कटु-तिक्तकम् कनीनि-अग्र-सम-स्थौल्यम् प्र-गुणम् द्वादश-अङ्गुलम् भक्षयेत् दन्त-पवनम् दन्त-मांसानि अ-बाधयन् .","(ततः) शरीर-चिन्ताम् निर्वर्त्य कृत-शौच-विधिः च प्रातः भुक्त्वा अर्क-न्यग्रोध-खदिर-करञ्ज-ककुभ-आदि-जम् कषाय-कटु-तिक्तकम् मृदु-अग्रम् द्वादश-अङ्गुलम् कनीनि-अग्र-सम-स्थौल्यम् प्र-गुणम् दन्त-मांसानि अ-बाधयन् दन्त-पवनम् भक्षयेत् .","शरीरचिन्तां निर्वर्त्य कृतशौचविधिस्ततः॥१॥#अर्कन्यग्रोधखदिरकरञ्जककुभादिजम्।#प्रातर्भुक्त्वा च मृद्वग्रं कषायकटुतिक्तकम्॥२॥#कनीन्यग्रसमस्थौल्यं प्रगुणं द्वादशाङ्गुलम्।#भक्षयेद्दन्तपवनं दन्तमांसान्यबाधयन्॥३॥"
"न अद्यात् अजीर्ण-वमथु-श्वास-कास-ज्वर-अर्दिती तृष्णा-आस्य-पाक-हृद्-नेत्र-शिरः-कर्ण-आमयी च तत् .","अजीर्ण-वमथु-श्वास-कास-ज्वर-अर्दिती तृष्णा-आस्य-पाक-हृद्-नेत्र-शिरः-कर्ण-आमयी च तत् न अद्यात् .","नाद्यादजीर्णवमथुश्वासकासज्वरार्दिती।#तृष्णास्यपाकहृन्नेत्रशिरःकर्णामयी च तत्॥४॥"
"सौवीरम् अञ्जनम् नित्यम् हितम् अक्ष्णोः ततः भजेत् .","ततः सौवीरम् अञ्जनम् भजेत् नित्यम् अक्ष्णोः हितम् .","सौवीरमञ्जनं नित्यं हितमक्ष्णोस्ततो भजेत्।"
"चक्षुः तेजोमयम् (भवति) तस्य विशेषात् श्लेष्मतः भयम् (भवति) योजयेत् सप्त-रात्रे (सति) अस्मात् स्रावण-अर्थम् रस-अञ्जनम् .","चक्षुः तेजोमयम् (भवति) तस्य विशेषात् श्लेष्मतः भयम् (भवति) अस्मात् स्रावण-अर्थम् सप्त-रात्रे (सति) रस-अञ्जनम् योजयेत् .","चक्षुस्तेजोमयं तस्य विशेषात् श्लेष्मतो भयम्॥५॥#योजयेत्सप्तरात्रेऽस्मात्स्रावणार्थं रसाञ्जनम्।"
"ततः नावन-गण्डूष-धूम-ताम्बूल-भाग् भवेत् .","ततः नावन-गण्डूष-धूम-ताम्बूल-भाग् भवेत् .","ततो नावनगण्डूषधूमताम्बूलभाग्भवेत्॥६॥"
"ताम्बूलम् क्षत-पित्तास्र-रूक्ष-उत्कुपित-चक्षुषाम् विष-मूर्च्छा-मद-आर्तानाम् अ-पथ्यम् शोषिणाम् अपि (भवति) .","ताम्बूलम् क्षत-पित्तास्र-रूक्ष-उत्कुपित-चक्षुषाम् विष-मूर्च्छा-मद-आर्तानाम् अपि शोषिणाम् अ-पथ्यम् (भवति) .","ताम्बूलं क्षतपित्तास्ररूक्षोत्कुपितचक्षुषाम्।#विषमूर्च्छामदार्तानामपथ्यं शोषिणामपि॥७॥"
"अभ्यङ्गम् आचरेत् नित्यम् सः (अभ्यङ्गः) जरा-श्रम-वात-हा दृष्टि-प्रसाद-पुष्टि-आयुः-स्वप्न-सु-त्वक्त्व-दार्ढ्य-कृत् (च) (भवति) .","नित्यम् अभ्यङ्गम् आचरेत् सः (अभ्यङ्गः) जरा-श्रम-वात-हा दृष्टि-प्रसाद-पुष्टि-आयुः-स्वप्न-सु-त्वक्त्व-दार्ढ्य-कृत् (च) (भवति) .","अभ्यङ्गमाचरेन्नित्यं, स जराश्रमवातहा।#दृष्टिप्रसादपुष्ट्यायुःस्वप्नसुत्वक्त्वदार्ढ्यकृत्॥८॥"
"शिरः-श्रवण-पादेषु तम् विशेषेण शीलयेत् .","तम् विशेषेण शिरः-श्रवण-पादेषु शीलयेत् .","शिरःश्रवणपादेषु तं विशेषेण शीलयेत्।"
"वर्ज्यः अभ्यङ्गः कफ-ग्रस्त-कृत-सम्-शुद्धि-अ-जीर्णिभिः .","कफ-ग्रस्त-कृत-सम्-शुद्धि-अ-जीर्णिभिः अभ्यङ्गः वर्ज्यः .","वर्ज्योऽभ्यङ्गः कफग्रस्तकृतसंशुद्ध्यजीर्णिभिः॥९॥"
"लाघवम् कर्म-सामर्थ्यम् दीप्तः अग्निः मेदसः क्षयः विभक्त-घन-गात्रत्वम् (च) व्यायामात् उपजायते .","व्यायामात् विभक्त-घन-गात्रत्वम् लाघवम् कर्म-सामर्थ्यम् दीप्तः अग्निः मेदसः क्षयः (च) उपजायते .","लाघवं कर्मसामर्थ्यं दीप्तोऽग्निर्मेदसः क्षयः।#विभक्तघनगात्रत्वं व्यायामादुपजायते॥१०॥"
"वात-पित्त-आमयी बालः वृद्धः अ-जीर्णी च तम् त्यजेत् .","वात-पित्त-आमयी बालः वृद्धः अ-जीर्णी च तम् त्यजेत् .","वातपित्तामयी बालो वृद्धोऽजीर्णी च तं त्यजेत्।"
"अर्ध-शक्त्या निषेव्यः तु बलिभिः स्निग्ध-भोजिभिः (पुरुषैः) शीत-काले वसन्ते च मन्दम् एव ततः अन्यदा (निषेव्यः) .","शीत-काले वसन्ते च बलिभिः स्निग्ध-भोजिभिः तु अर्ध-शक्त्या निषेव्यः ततः अन्यदा (पुरुषैः) मन्दम् एव (निषेव्यः) .","अर्धशक्त्या निषेव्यस्तु बलिभिः स्निग्धभोजिभिः॥११॥#शीतकाले वसन्ते च, मन्दमेव ततोऽन्यदा।"
"तम् कृत्वा अनु-सुखम् देहम् मर्दयेत् च समन्ततः .","तम् कृत्वा अनु-सुखम् समन्ततः देहम् च मर्दयेत् .","तं कृत्वाऽनुसुखं देहं मर्दयेच्च समन्ततः॥१२॥"
"तृष्णा क्षयः प्रतमकः रक्तपित्तम् श्रमः क्लमः अति-व्यायामतः कासः ज्वरः छर्दिः च जायते .","अति-व्यायामतः तृष्णा क्षयः प्रतमकः रक्तपित्तम् श्रमः क्लमः कासः ज्वरः छर्दिः च जायते .","तृष्णा क्षयः प्रतमको रक्तपित्तं श्रमः क्लमः।#अतिव्यायामतः कासो ज्वरश्छर्दिश्च जायते॥१३॥"
