"padacchedah","anvaya","spart"
"मनीषिणाम् माननीयः वैवस्वतः नाम मनुः महीक्षिताम् आद्यः प्रणवः-इव छन्दसाम् आसीत्","मनीषिणाम् माननीयः छन्दसाम् प्रणवः-इव महीक्षिताम् आद्यः वैवस्वतः नाम मनुः आसीत्"," वैवस्वतो मनुर्नाम माननीयो मनीषिणाम्।# आसीन्महीक्षितामाद्यः प्रणवश्छन्दसामिव।।"
"तत्-अन्वये शुद्धिमति प्रसूतः शुद्धिमत्तरः दिलीपः इति राजा-इन्दुः इन्दुः-इव क्षीर-निधौ","शुद्धिमति तत्-अन्वये शुद्धिमत्तरः राजा-इन्दुः दिलीपः इति क्षीर-निधौ इन्दुः-इव प्रसूतः"," तदन्वये शुद्धिमति प्रसूतः शुद्धिमत्तरः।# दिलीप इति राजेन्दुरिन्दुः क्षीरनिधाविव।।"
"व्युढ-उरस्कः वृष-स्कन्धः शाल-प्रांशुः महा-भुजः आत्म-कर्म-क्षमं देहं क्षात्रः धर्मः इव आश्रितः (दिलीपः) (स्थितः)","व्युढ-उरस्कः वृष-स्कन्धः शाल-प्रांशुः महा-भुजः आत्म-कर्म-क्षमं देहं आश्रितः क्षात्रः धर्मः इव (दिलीपः) (स्थितः)"," व्यूढोरस्को वृषस्कन्धः शालप्रांशुर्महाभुजः।# आत्मकर्मक्षमं देहं क्षात्रो धर्म इवाश्रितः।।"
"सर्वातिरिक्त-सारेण सर्वतेज-अभिभाविना (स्थितः) सर्व-उन्नतेन उर्वीं क्रान्त्वा मेरुः-इव आत्मना (दिलीपः)","सर्वातिरिक्त-सारेण सर्वतेज-अभिभाविना सर्व-उन्नतेन आत्मना मेरुः-इव उर्वीं क्रान्त्वा (स्थितः) (दिलीपः)"," सर्वातिरिक्तसारेण सर्वतेजोभिभाविना।# स्थितः सर्वोन्नतेनोर्वीं क्रान्त्वा मेरुरिवात्मना।।"
"आकार-सदृश-प्रज्ञः प्रज्ञया सदृश-आगमः आगमैः सदृश-आरम्भः आरम्भ-सदृश-उदयः (दिलीपः) (आसीत्)","आकार-सदृश-प्रज्ञः प्रज्ञया सदृश-आगमः आगमैः सदृश-आरम्भः आरम्भ-सदृश-उदयः (दिलीपः) (आसीत्)"," आकारसदृशप्रज्ञः प्रज्ञया सदृशागमः।# आगमैः सदृशारम्भ आरम्भसदृशोदयः।।"
"भीम-कान्तैः नृप-गुणैः सः बभूव उपजीविनाम् अ-धृष्यः अभिगम्यः च यादो-रत्नैः अर्णवः-इव च","भीम-कान्तैः नृप-गुणैः सः उपजीविनाम् यादो-रत्नैः अर्णवः-इव अ-धृष्यः च अभिगम्यः च बभूव"," भीमकान्तैर्नृपगुणैः स बभूवोपजीविनाम्।# अधृष्यश्चाभिगम्यश्च यादोरत्नैरिवार्णवः।।"
"रेखामात्रम् अपि क्षुण्णात् आमनोः वर्त्मनः परम् न व्यतीयुः प्रजाः तस्य नियन्तुः नेमि-वृत्तयः (इव)","नियन्तुः तस्य नेमि-वृत्तयः (इव) प्रजाः आमनोः क्षुण्णात् वर्त्मनः परम् रेखामात्रम् अपि न व्यतीयुः"," रेखामात्रमपि क्षुण्णादामनोर्वर्त्मनः परम्।# न व्यतीयुः प्रजास्तस्य नियन्तुर्नेमिवृत्तयः।।"
"प्रजानाम् एव भूति-अर्थम् सः ताभ्यः बलिम् अग्रहीत्; सहस्र-गुणम् उत्स्रष्टुम् आदत्ते हि रसम् रविः जलम्","सः प्रजानाम् भूति-अर्थम् एव ताभ्यः बलिम् अग्रहीत्; हि रविः सहस्र-गुणम् जलम् उत्स्रष्टुम् रसम् आदत्ते"," प्रजानामेव भूत्यर्थं स ताभ्यो बलिमग्रहीत्।# सहस्रगुणमुत्स्रष्टुमादत्ते हि रसं रविः।।"
"सेना परिच्छदः तस्य (बभूव); द्वयम् एव अर्थ-साधनम् (अस्ति) शास्त्रेषु अ-कुन्ठिता बुद्धिः मौर्वी धनुषी आतता (अस्ति) च","तस्य सेना परिच्छदः (बभूव); अर्थ-साधनम् द्वयम् एव (अस्ति) शास्त्रेषु अ-कुन्ठिता बुद्धिः च धनुषी आतता मौर्वी (अस्ति)"," सेनापरिच्छदस्तस्य द्वयमेवार्थसाधनम्।# शास्त्रेष्वकुण्ठिता बुद्धिर्मौर्वी धनुषि चातता।।"
"तस्य संवृत-मन्त्रस्य गूढ-आकारा-इङ्गितस्य च प्रारम्भाः संस्काराः प्राक्तनाः इव फलानुमेयाः (आसन्)","संवृत-मन्त्रस्य च गूढ-आकारा-इङ्गितस्य तस्य प्रारम्भाः प्राक्तनाः संस्काराः इव फलानुमेयाः (आसन्)"," तस्य संवृतमन्त्रस्य गूढाकारेङ्गितस्य च।# फलानुमेयाः प्रारम्भाः संस्काराः प्राक्तना इव।।"
"जुगोप आत्मानम् (सः) अ-त्रस्तः (सन्); भेजे धर्मम् (सः) अन-आतुरः (सन्); सः अ-गृध्नुः (सन्) अर्थम् आददे; (सः) अ-सक्तः (सन्) अन्वभूत् सुखम्","(सः) अ-त्रस्तः (सन्) आत्मानम् जुगोप; (सः) अन-आतुरः (सन्) धर्मम् भेजे; सः अ-गृध्नुः (सन्) अर्थम् आददे; (सः) अ-सक्तः (सन्) सुखम् अन्वभूत्"," जुगोपात्मानमत्रस्तो भेजे धर्ममनातुरः।# अगृध्नुराददे सोऽर्थमसक्तः सुखमन्वभूत्।।"
"ज्ञाने (तस्य) मौनम् (आसीत्); शक्तौ क्षमा (आसीत्); त्यागे श्लाघा-विपर्ययः (आसीत्); गुणाः गुण-अनुबन्धित्वात् तस्य स-प्रसवाः इव (आसन्)","(तस्य) ज्ञाने मौनम् (आसीत्); शक्तौ क्षमा (आसीत्); त्यागे श्लाघा-विपर्ययः (आसीत्); तस्य गुणाः गुण-अनुबन्धित्वात् स-प्रसवाः इव (आसन्)"," ज्ञाने मौनं क्षमा शक्तौ त्यागे श्लाघाविपर्ययः।# गुणा गुणानुबन्धित्वात्तस्य सप्रसवा इव।।"
"विषयैः अन्-आकृष्टस्य विद्यानां पारदृश्वनः धर्म-रतेः तस्य जरसा विना वृद्धत्वं आसीत्","विषयैः अन्-आकृष्टस्य विद्यानां पारदृश्वनः धर्म-रतेः तस्य जरसा विना वृद्धत्वं आसीत्"," अनाकृष्टस्य विषयैर्विद्यानां पारदृश्वनः।# तस्य धर्मरतेरासीद्वृद्धत्वं जरसा विना।।"
"प्रजानां विनयाधानात् रक्षणात् भरणात् अपि सः पिता (अभूत्); तासां (प्रजानां) पितरः केवलं जन्म-हेतवः (आसन्)","प्रजानां विनयाधानात् रक्षणात् भरणात् अपि सः पिता (अभूत्); तासां (प्रजानां) पितरः जन्म-हेतवः केवलं (आसन्)"," प्रजानां विनयाधानाद्रक्षणाद्भरणादपि।# स पिता पितरस्तासां केवलं जन्महेतवः।।"
"दण्ड्यान् स्थित्यै दण्डयतः प्रसूतये परिणेतुः मनीषिणः तस्य अर्थ-कामौ अपि धर्मः एव आस्ताम्","स्थित्यै दण्डयतः दण्ड्यान् परिणेतुः प्रसूतये अपि अर्थ-कामौ तस्य आस्ताम् धर्मः एव मनीषिणः"," स्थित्यै दण्डयतो दण्ड्यान्परिणेतुः प्रसूतये।# अप्यर्थकामौ तस्यास्तां धर्म एव मनीषिणः।।"
"दुदोह गां सः यज्ञाय; सस्याय मघवा दिवं (दुदोह); सम्पद्-विनिमयेन उभौ दधतु भुवन-द्वयं","सः यज्ञाय गां दुदोह; मघवा सस्याय दिवं (दुदोह); उभौ सम्पद्-विनिमयेन भुवन-द्वयं दधतु"," दुदोह गां स यज्ञाय सस्याय मघवा दिवम्।# सम्पद्विनियमयेनोभौ दधतुर्भुवनद्वयम्।।"
"न किल अनुययुः तस्य राजानः रक्षितुः यशः; व्यावृत्ता यत् पर-स्वेभ्यः श्रुतौ तस्करता स्थिता (सती)","राजानः रक्षितुः तस्य यशः न अनुययुः किल; यत् तस्करता पर-स्वेभ्यः व्यावृत्ता (सती) श्रुतौ स्थिता"," न किलानुययुस्तस्य राजानो रक्षितुर्यशः।# व्यावृत्ता यत्परस्वेभ्यः श्रुतौ तस्करता स्थिता।।"
"द्वेष्यः अपि सम्मतः शिष्टः तस्य आर्तस्य यथा औषधम्; त्याज्यः दुष्टः प्रियः अपि अङ्गुली-इव उरग-क्षता","शिष्टः द्वेष्यः अपि आर्तस्य औषधम् यथा तस्य सम्मतः; दुष्टः प्रियः अपि उरग-क्षता त्याज्यः अङ्गुली-इव"," द्वेष्योऽपि सम्मतः शिष्टस्तस्यार्तस्य यथौषधम्।# त्याज्यो दुष्टः प्रियोऽप्यासीदङ्गुलीवोरगक्षता।।"
"तम् वेधाः विदधे नूनम् महाभूत-समाधिना तथाहि सर्वे तस्य आसन् परार्थ-एकफलाः गुणाः","वेधाः तम् महाभूत-समाधिना नूनम् विदधे तथाहि तस्य सर्वे गुणाः परार्थ-एकफलाः आसन्"," तं वेधा विदधे नूनं महाभूतसमाधिना।# तथा हि सर्वे तस्यासन्परार्थैकफला गुणाः।।"
"सः वेला-वप्र-वलयां परिखीकृत-सागराम् अनन्य-शासनाम् उर्वीं शशास एक-पुरीम्-इव","सः वेला-वप्र-वलयां परिखीकृत-सागराम् अनन्य-शासनाम् उर्वीं एक-पुरीम्-इव शशास"," स वेलावप्रवलयां परिखीकृतसागराम्।# अनन्यशासनामुर्वीं शशासैकपुरीमिव।।"
"तस्य दाक्षिण्य-रूढेन नाम्ना मगध-वंशजा पत्नी सुदक्षिणा इति अध्वरस्य दक्षिणा-इव (आसीत्)","तस्य मगध-वंशजा दाक्षिण्य-रूढेन नाम्ना अध्वरस्य पत्नी दक्षिणा-इव सुदक्षिणा इति (आसीत्)"," तस्य दाक्षिण्यरूढेन नाम्ना मगधवंशजा।# पत्नी सुदक्षिणेत्यासीदध्वरस्येव दक्षिणा।।"
"कलत्रवन्तम् आत्मानम् अवरोधे महति अपि तया मेने मनस्विन्या लक्ष्म्या च वसुधा-अधिपः (सति)","वसुधा-अधिपः अवरोधे महति (सति) अपि मनस्विन्या तया लक्ष्म्या च आत्मानम् कलत्रवन्तम् मेने"," कलत्रवन्तमात्मानमवरोधे महत्यपि।# तया मेने मनस्विन्या लक्ष्म्या च वसुधाधिपः।।"
"अनुरूपायाम् तस्याम् आत्म-जन्म-समुत्सुकः सः विलम्बित-फलैः मनः-रथैः कालम् निनाय","सः अनुरूपायाम् तस्याम् आत्म-जन्म-समुत्सुकः विलम्बित-फलैः मनः-रथैः कालम् निनाय"," तस्यामात्मानुरूपायामात्मजन्मसमुत्सुकः।# विलम्बितफलैः कालं स निनाय मनोरथैः।।"
"सन्तान-अर्थाय विधये स्व-भुजात् अवतारिता (तेन) धूः जगतः गुर्वी सचिवेषु निचिक्षिपे","(तेन) सन्तान-अर्थाय विधये स्व-भुजात् अवतारिता जगतः गुर्वी धूः सचिवेषु निचिक्षिपे"," सन्तानार्थाय विधये स्वभुजादवतारिता।# तेन धूर्जगतो गुर्वी सचिवेषु निचिक्षिपे।।"
"अथ अभ्यर्च्य विधातारम् प्रयतौ पुत्रकाम्यया तौ दम्-पती वसिष्ठस्य गुरोः जग्मतुः आश्रमम्","अथ पुत्रकाम्यया प्रयतौ तौ दम्-पती विधातारम् अभ्यर्च्य गुरोः वसिष्ठस्य आश्रमम् जग्मतुः"," अथाभ्यर्च्य विधातारं प्रयतौ पुत्रकाम्यया।# तौ दम्पती वसिष्ठस्य गुरोर्जग्मतुराश्रमम्।।"
"स्निग्ध-गम्भीर-निर्घोषम् एकम् स्यन्दनम् प्रावृषेण्यं पयोवाहं विद्युत्-ऐरावतौ-इव आस्थितौ (तौ) (जग्मतुः)","स्निग्ध-गम्भीर-निर्घोषम् एकम् स्यन्दनम् प्रावृषेण्यं पयोवाहं विद्युत्-ऐरावतौ-इव आस्थितौ (तौ) (जग्मतुः)"," स्निग्धगम्भीरनिर्घोषमेकं स्यन्दनमास्थितौ।# प्रावृषेण्यं पयोवाहं विद्युदैरावताविव।।"
"मा भूत् आश्रम-पीडा इति (चिन्तयित्वा) परिमेयपुरः-सरौ अनुभाव-विशेषात् तु सेना-परिवृतौ इव (तौ) (जग्मतुः) (स्तिथौ)","आश्रम-पीडा मा भूत् इति (चिन्तयित्वा) परिमेयपुरः-सरौ अनुभाव-विशेषात् तु सेना-परिवृतौ इव (तौ) (स्तिथौ) (जग्मतुः)"," मा भूदाश्रमपीडेति परिमेयपुरःसरौ।# अनुभावविशेषात्तु सेनापरिवृताविव।।"
"सुख-स्पर्शैः शाल-निर्यास-गन्धिभिः पुष्प-रेणू-उत्किरैः आधूत-वनराजिभिः वातैः सेव्यमानौ (तौ) (जग्मतुः)","सुख-स्पर्शैः शाल-निर्यास-गन्धिभिः पुष्प-रेणू-उत्किरैः आधूत-वनराजिभिः वातैः सेव्यमानौ (तौ) (जग्मतुः)"," सेव्यमानौ सुखस्पर्शैः शालनिर्यासगन्धिभिः।# पुष्परेणूत्किरैर्वातैराधूतवनराजिभिः।।"
"रथ-नेमि-स्वन-उन्मुखैः शिखण्डिभिः द्विधा भिन्नाः मनो-अभिरामाः षड्ज-संवादिनीः केकाः श्रृण्वन्तौ (तौ) (जग्मतुः)","रथ-नेमि-स्वन-उन्मुखैः शिखण्डिभिः द्विधा भिन्नाः मनो-अभिरामाः षड्ज-संवादिनीः केकाः श्रृण्वन्तौ (तौ) (जग्मतुः)"," मनोभिरामाः शृण्वन्तौ रथनेमिस्वनोन्मुखैः।# षड्जसंवादिनीः केका द्विधा भिन्नाः शिखण्डिभिः।।"
"अदूर-उज्झित-वर्त्मसु स्यन्दन-अबद्ध-दृष्टिषु मृग-द्वन्द्वेषु परस्पर-अक्षी-सादृश्यम् पश्यन्तौ (तौ) (जग्मतुः)","अदूर-उज्झित-वर्त्मसु स्यन्दन-अबद्ध-दृष्टिषु मृग-द्वन्द्वेषु परस्पर-अक्षी-सादृश्यम् पश्यन्तौ (तौ) (जग्मतुः)"," परस्पराक्षिसादृश्यमदूरोज्झितवर्त्मसु।# मृगद्वन्द्वेषु पश्यन्तौ स्यन्दनाबद्धदृष्टिषु।।"
"श्रेणी-बन्धात् अ-स्तम्भाम् तोरण-स्रजम् वितन्वद्भिः (इव) कल-निर्ह्रादैः सारसैः क्वचित् उन्मित-आननौ (तौ) (जग्मतुः)","श्रेणी-बन्धात् अ-स्तम्भाम् तोरण-स्रजम् वितन्वद्भिः (इव) कल-निर्ह्रादैः सारसैः क्वचित् उन्मित-आननौ (तौ) (जग्मतुः)"," श्रेणीबन्धाद्वितन्वद्भिरस्तम्भां तोरणस्रजम्।# सारसैः कलनिर्ह्रादैः क्वचिदुन्नमिताननौ।। "
"प्रार्थनासिद्धि-शंसिनः पवनस्य अनुकूलत्वात् तुरग-उत्कीर्णैः रजोभिः अस्पृष्टा-अलकवेष्टनौ (तौ) (जग्मतुः)","प्रार्थनासिद्धि-शंसिनः पवनस्य अनुकूलत्वात् तुरग-उत्कीर्णैः रजोभिः अस्पृष्टा-अलकवेष्टनौ (तौ) (जग्मतुः)"," पवनस्यानुकूलत्वात्प्रार्थनासिद्धिशंसिनः।# रजोभिस्तुरगोत्कीर्णैरस्पृष्टालकवेष्टनौ॥"
"सरसीषु वीचि-विक्षोभ-शीतलम् स्व-निःश्वास-अनुकारिणाम् अरविन्दानाम् आमोदम् उपजिघ्रन्तौ (तौ) (जग्मतुः)","सरसीषु वीचि-विक्षोभ-शीतलम् स्व-निःश्वास-अनुकारिणाम् अरविन्दानाम् आमोदम् उपजिघ्रन्तौ (तौ) (जग्मतुः)"," सरसीष्वरविन्दानां वीचिविक्षोभशीतलम्।# आमोदमुपजिघ्रन्तौ स्वनिःश्वासानुकारिणम्॥"
"आत्म-विसृष्टेषु यूप-चिह्नेषु ग्रामेषु यज्वनाम् अ-मोघाः आशिषः अर्घ्य-अनुपदम् प्रतिगृह्णन्तौ (तौ) (जग्मतुः)","आत्म-विसृष्टेषु यूप-चिह्नेषु ग्रामेषु यज्वनाम् अर्घ्य-अनुपदम् अ-मोघाः आशिषः प्रतिगृह्णन्तौ (तौ) (जग्मतुः)","ग्रामेष्वात्मविसृष्टेषु यूपचिह्नेषु यज्वनाम्।#अमोघाः प्रतिगृह्णन्तावर्घ्यानुपदमाशिषः॥"
"हैयङ्गवीनम् आदाय उपस्थितान् घोष-वृद्धान् वन्यानां मार्ग-शाखिनाम् नामधेयानि पृच्छन्तौ (तौ) (जग्मतुः)","हैयङ्गवीनम् आदाय उपस्थितान् घोष-वृद्धान् वन्यानां मार्ग-शाखिनाम् नामधेयानि पृच्छन्तौ (तौ) (जग्मतुः)","हैयङ्गवीनमादाय घोषवृद्धानुपस्थितान्।#नामधेयानि पृच्छन्तौ वन्यानां मार्गशाखिनाम्॥"
"व्रजतोः शुद्ध-वेषयोः तयोः हिम-निर्मुक्तयोः चित्रा-चन्द्रमसोः-इव योगे सति का अपि अभिख्या आसीत्","व्रजतोः शुद्ध-वेषयोः तयोः हिम-निर्मुक्तयोः चित्रा-चन्द्रमसोः-इव योगे सति का अपि अभिख्या आसीत्","काऽप्यभिख्या तयोरासीद्व्रजतोः शुद्धवेषयोः।#हिमनिर्मुक्तयोर्योगे चित्राचन्द्रमसोरिव॥"
"तत् तत् भूमि-पतिः बुध-उपमः पत्न्यै प्रिय-दर्शनः अध्वानम् दर्शयन् अपि न बुबुधे लङ्घितम्","प्रिय-दर्शनः बुध-उपमः भूमि-पतिः तत् तत् पत्न्यै दर्शयन् लङ्घितम् अध्वानम् अपि न बुबुधे","तत्तद्भूमिपतिः पत्न्यै दर्शयन्प्रियदर्शनः।#अपि लङ्घितमध्वानं बुबुधे न बुधोपमः॥"
"दुष्प्राप-यशाः श्रान्त-वाहनः महिषी-सखः सः सायम् संयमिनः तस्य महर्षेः आश्रमम् प्रापत्","दुष्प्राप-यशाः श्रान्त-वाहनः महिषी-सखः सः सायम् संयमिनः तस्य महर्षेः आश्रमम् प्रापत्","स दुष्प्रापयशाः प्रापदाश्रमं श्रान्तवाहनः।#सायं संयमिनस्तस्य महर्षेर्महिषीसखः॥"
"वनान्तरात् उपावृत्तैः समित्-कुश-फल-आहरैः अदृश्य-अग्नि-प्रत्युद्यातैः तपस्विभिः पूर्यमाणम् (आश्रमम्) (प्रापत्) (सः)","वनान्तरात् उपावृत्तैः समित्-कुश-फल-आहरैः अदृश्य-अग्नि-प्रत्युद्यातैः तपस्विभिः पूर्यमाणम् (आश्रमम्) (सः) (प्रापत्)","वनान्तरादुपावृत्तैः समित्कुशफलाहरैः।#पूर्यमाणमदृश्याग्निप्रत्युद्यातैस्तपस्विभिः॥"
"नीवार-भागधेय-उचितैः उटज-द्वार-रोधिभिः मृगैः ऋषि-पत्नीनाम् अपत्यैः-इव आकीर्णम् (आश्रमम्) (प्रापत्) (सः)","नीवार-भागधेय-उचितैः उटज-द्वार-रोधिभिः ऋषि-पत्नीनाम् अपत्यैः-इव मृगैः आकीर्णम् (आश्रमम्) (सः) (प्रापत्)","आकीर्णमृषिपत्नीनामुटजद्वाररोधिभिः।#अपत्यैरिव नीवारभागधेयोचितैर्मृगैः॥"
"सेक-अन्ते मुनि-कन्याभिः तत्क्षण-उज्झित-वृक्षकम् विश्वासाय विहङ्गानाम् आलवाल-अम्बु-पायिनाम् (आश्रमम्) (सः) (प्रापत्)","मुनि-कन्याभिः तत्क्षण-सेक-अन्ते आलवाल-अम्बु-पायिनाम् विहङ्गानाम् विश्वासाय उज्झित-वृक्षकम् (आश्रमम्) (सः) (प्रापत्)","सेकान्ते मुनिकन्याभिस्तत्क्षणोज्झितवृक्षकम्।#विश्वासाय विहङ्गानामालवालाम्बुपायिनाम्॥"
"आतप​-अत्यय-संक्षित्प​-नीवारासु निषादिभिः मृगैः वर्तित-रोमन्थम् उटज-अङ्गनभूमिषु (आश्रमं) (सः) (प्रापत्)","आतप​-अत्यय-संक्षित्प​-नीवारासु उटज-अङ्गनभूमिषु निषादिभिः मृगैः वर्तित-रोमन्थम् (आश्रमं) (सः) (प्रापत्)","आतपात्ययसंक्षिप्तनीवारासु निषादिभिः।#मृगैर्वर्तितरोमन्थमुटजाङ्गनभूमिषु॥"
"अभ्युत्थित-अग्नि-पिशुनैः अतिथीन् आश्रम-उन्मुखान् पुनानम् पवन-उद्धूतैः धूमैः आहुति-गन्धिभिः (आश्रमं) (प्रापत्) (सः)","अभ्युत्थित-अग्नि-पिशुनैः पवन-उद्धूतैः आहुति-गन्धिभिः धूमैः आश्रम-उन्मुखान् अतिथीन् पुनानम् (आश्रमं) (सः) (प्रापत्)","अभ्युत्थिताग्निपिशुनैरतिथीनाश्रमोन्मुखान्।#पुनानं पवनोद्धूतैर्धूमैराहुतिगन्धिभिः॥"
"अथ सः यन्तारम् धुर्यान् विश्रामय इति आदिश्य ताम् पत्नीम् रथात् अवारोहयत् अवततार च","अथ सः यन्तारम् धुर्यान् विश्रामय इति आदिश्य ताम् पत्नीम् रथात् अवारोहयत् अवततार च","अथ यन्तारमादिश्य धुर्यान्विश्रामयेति सः।#तामवारोहयत्पत्नीं रथादवततार च॥"
"तस्मै सभ्याः सभार्याय गोप्त्रे गुप्ततम-इन्द्रियाः अर्हणाम् अर्हते चक्रुः मुनयः नय-चक्षुषे","सभ्याः गुप्ततम-इन्द्रियाः मुनयः गोप्त्रे नय-चक्षुषे अर्हते सभार्याय तस्मै अर्हणाम् चक्रुः","तस्मै सभ्याः सभार्याय गोप्त्रे गुप्ततमेन्द्रियाः।#अर्हणामर्हते चक्रुर्मुनयो नयचक्षुषे॥"
"विधेः सायन्तनस्य अन्ते सः ददर्श तपः-निधिम् अन्वासितम् अरुन्धत्या स्वाहया हवि-भुजम्-इव (वशिष्ठम्) (अन्वासितम्)","सः सायन्तनस्य विधेः अन्ते अरुन्धत्या अन्वासितम् तपः-निधिम् (वशिष्ठम्) स्वाहया (अन्वासितम्) हवि-भुजम्-इव ददर्श","विधेः सायन्तनस्यान्ते स ददर्श तपोनिधिम्।#अन्वासितमरुन्धत्या स्वाहयेव हविर्भुजम्॥"
"तयोः जगृहतुः पादान् राजा राज्ञी च मागधी तौ गुरुः गुरु-पत्नी च प्रीत्या प्रतिननन्दतुः","मागधी राज्ञी राजा च तयोः पादान् जगृहतुः गुरु-पत्नी गुरुः च तौ प्रीत्या प्रतिननन्दतुः","तयोर्जगृहतुः पादान्राजा राज्ञी च मागधी।#तौ गुरुर्गुरुपत्नी च प्रीत्या प्रतिननन्दतुः॥"
